Model,Dataset,Accuracy,Precision,Recall,F1,ROC_AUC,Confusion_Matrix,Train_Time,Feature_Set
LogisticRegression,Train,0.6488321158799886,0.8382800390378322,0.36500893649464433,0.5085722744172682,0.6557439892895024,"[[75075  5634]
 [50805 29204]]",11.030904531478882,Heuristic-only
LogisticRegression,Validation,0.6471835075493612,0.834987925945801,0.363021289005541,0.5060368307654782,0.654201836604288,"[[16065  1230]
 [10921  6224]]",11.030904531478882,Heuristic-only
RandomForest,Train,0.6488321158799886,0.8382800390378322,0.36500893649464433,0.5085722744172682,0.6557692585662988,"[[75075  5634]
 [50805 29204]]",5.0603554248809814,Heuristic-only
RandomForest,Validation,0.6471835075493612,0.834987925945801,0.363021289005541,0.5060368307654782,0.6542212617563694,"[[16065  1230]
 [10921  6224]]",5.0603554248809814,Heuristic-only
LightGBM,Train,0.6488321158799886,0.8382800390378322,0.36500893649464433,0.5085722744172682,0.6557690840391044,"[[75075  5634]
 [50805 29204]]",0.8632516860961914,Heuristic-only
LightGBM,Validation,0.6471835075493612,0.834987925945801,0.363021289005541,0.5060368307654782,0.6542207457757672,"[[16065  1230]
 [10921  6224]]",0.8632516860961914,Heuristic-only
LogisticRegression,Train,0.9550641496285419,0.9645168289787739,0.9444812458598407,0.954393897294703,0.9915747627173368,"[[77929  2780]
 [ 4442 75567]]",10.382410526275635,TF-IDF-only
LogisticRegression,Validation,0.9506678281068525,0.9619571719105157,0.9379994167395742,0.9498272450757463,0.9895628455520827,"[[16659   636]
 [ 1063 16082]]",10.382410526275635,TF-IDF-only
RandomForest,Train,0.8264289003098595,0.9313347348904965,0.7031833918684148,0.801336011052714,0.9311325891441421,"[[76561  4148]
 [23748 56261]]",29.52353286743164,TF-IDF-only
RandomForest,Validation,0.8226771196283391,0.9239514518359195,0.7015456401283173,0.7975334018499486,0.9277138998850931,"[[16305   990]
 [ 5117 12028]]",29.52353286743164,TF-IDF-only
LightGBM,Train,0.9335482024415436,0.9474397532043421,0.9174092914547114,0.9321827256448356,0.9853161985550524,"[[76637  4072]
 [ 6608 73401]]",345.2892155647278,TF-IDF-only
LightGBM,Validation,0.9280778164924507,0.9408511661457081,0.9129192184310294,0.9266747580000592,0.9818844977422054,"[[16311   984]
 [ 1493 15652]]",345.2892155647278,TF-IDF-only
LogisticRegression,Train,0.9666309934170411,0.9722636973301279,0.9603669587171443,0.966278711511013,0.9947684528826441,"[[78517  2192]
 [ 3171 76838]]",37.90126276016235,Hybrid
LogisticRegression,Validation,0.9591753774680604,0.965347998344273,0.9521726450860309,0.9587150575522668,0.9922999371633426,"[[16709   586]
 [  820 16325]]",37.90126276016235,Hybrid
RandomForest,Train,0.8582734976791647,0.950573934402998,0.7545401142371483,0.841288200783177,0.9562585791140152,"[[77570  3139]
 [19639 60370]]",38.020914793014526,Hybrid
RandomForest,Validation,0.8536585365853658,0.9414338852016629,0.752872557596967,0.8366606170598911,0.9518799458152919,"[[16492   803]
 [ 4237 12908]]",38.020914793014526,Hybrid
LightGBM,Train,0.9554436964123496,0.9652802616115681,0.9444687472659326,0.9547611075663485,0.9924969660386871,"[[77991  2718]
 [ 4443 75566]]",439.6157283782959,Hybrid
LightGBM,Validation,0.945993031358885,0.9553715068819639,0.9351997666958297,0.9451780240509314,0.9883762790227495,"[[16546   749]
 [ 1111 16034]]",439.6157283782959,Hybrid
